Sample,Novel 16s miTags (%),Group,Water Depth (m),NCBI bioproject,Reference
MC02(8-10cmbsf),23.2%,Slope,5400,PRJNA635214,This study (public available)
MC02(28-30cmbsf),25.0%,Slope,5400,PRJNA635214,This study (public available)
D1T1(0-2cmbsf),18.1%,Slope,5533,PRJNA635214,This study (public available)
D1T1(4-6cmbsf),19.7%,Slope,5533,PRJNA635214,This study (public available)
D1T2(4-6cmbsf),17.6%,Slope,5533,PRJNA635214,This study (public available)
D1T2(24-26cmbsf),22.2%,Slope,5533,PRJNA635214,This study (public available)
T1B5(0-2cmbsf),16.6%,Slope,7061,PRJNA635214,This study (public available)
T1B5(8-10cmbsf),17.9%,Slope,7061,PRJNA635214,This study (public available)
T1B5(28-30cmbsf),24.2%,Slope,7082,PRJNA635214,This study (public available)
T1B5(38-40cmbsf),24.6%,Slope,7082,PRJNA635214,This study (public available)
T1B3R1(0-3cmbsf),16.3%,Slope,7082,PRJNA635214,This study (public available)
T1B3R2(0-3cmbsf),20.2%,Slope,7082,PRJNA635214,This study (public available)
T1B8(2-4cmbsf),16.6%,Slope,7143,PRJNA635214,This study (public available)
T1B8(16-18cmbsf),18.0%,Slope,7143,PRJNA635214,This study (public available)
T1L6T1(0-3cmbsf),19.5%,Slope,7850,PRJNA635214,This study (public available)
T1L6T2(0-3cmbsf),14.9%,Slope,7850,PRJNA635214,This study (public available)
T1B10(0-2cmbsf),26.6%,Slope,8638,PRJNA635214,This study (public available)
T1B10(36-38cmbsf),28.6%,Slope,8638,PRJNA635214,This study (public available)
T1B10(44-46cmbsf),33.0%,Slope,8638,PRJNA635214,This study (public available)
T1B11(0-3cmbsf),33.3%,Slope,9150,PRJNA635214,This study (public available)
T1L10(0-3cmbsf),25.3%,Bottom-axis,10900,PRJNA635214,This study (public available)
T1L10(6-9cmbsf),32.4%,Bottom-axis,10900,PRJNA635214,This study (public available)
T1L10(12-15cmbsf),38.1%,Bottom-axis,10900,PRJNA635214,This study (public available)
T1L10(18-21cmbsf),35.4%,Bottom-axis,10900,PRJNA635214,This study (public available)
T3L11(0-3cmbsf),30.8%,Bottom-axis,10908,PRJNA635214,This study (public available)
T3L11(6-9cmbsf),29.8%,Bottom-axis,10908,PRJNA635214,This study (public available)
