genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L8(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B55T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004356985,0,0,0,0.03582815,0.01844066,0,0.041768216,0.11141088,0.039593145,0,0.07169975,0.08775859,0,0,0.048016656,0.041954935,0.060962174,0.107265435,0,0.04866309,0.03745803,0.014433567,0
B63T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0.005608032,0,0,0,0,0,0,0,0,0.009064618,0,0,0.031451333,0.18778594,0.04295539,0.032237235,0.021761991,0.011403274,0.026971657,0.18015775,0,0,0.01009988,0,0
B26T1B8,0,0,0,0,0,0,0,0,0,0,0.02424086,0.003429417,0.031463664,0.067950405,0,0,0,0.038249504,0.024001215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B19T1L6,0,0,0,0,0,0,0.03517791,0.032636467,0.049300343,0.045929465,0.035284773,0.07845274,0.032360822,0.025805168,0.12446856,0.07935809,0.08832855,0.042390507,0.028676046,0.030069293,0.057105243,0.047278617,0.036116455,0.03460902,0.057109986,0.039117604,0,0.030433888,0.04205834,0.05097946,0.063268475,0.050479043,0.051297665,0.07252031,0.08775715,0.07552037,0.043574274
B8T1B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08040783,0.20543993,1.7025826,0.027765693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11T1L6,0,0,0,0,0,0,0.027170591,0.021552952,0.015056627,0,0,0.0044218,0.009598802,0.012697443,0.12528828,0.05133525,0.13382785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B62T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.044241596,0.00384314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07794366,0,0,0,0.026679901,0,0,0,0.0633299,0.07352513,0.09687091,0,0,0.039499637,0.022234814,0,0
B13T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015045094,0,0.0199561,0.029275758,0.055357955,0.034383867,0.03130306,0.026044333,0,0,0,0.013677933,0.033248782,0.043060374,0.028796246,0,0.021581095,0.060663037,0
B11T3L11,0,0,0,0,0,0,0,0,0,0,0,0.008861691,0.00490748,0.007573582,0,0,0,0,0.012612953,0,0.12351625,0.10253829,0.01203444,0,0.10255818,0.048227258,0,0,0.10116754,0.117813274,0.14464034,0.07746311,0,0.084742084,0.060303252,0.033280753,0
B49T1B8,0,0,0,0,0,0,0,0,0.011027626,0,0,0,0.04995488,0.024902945,0,0,0,0.023214446,0.021937124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047765277,0.07660348,0.060646135,0.033818923,0.17237584,0.1663604,0.06960532,0.13032646,0.052033957,0.04845852,0.08235568,0.16110608,0,0.08461025,0.12417823,0.11823949,0.19977355
B4T1L6,0.021850437,0.028812483,0,0.010839618,0.019938162,0.025922986,0.04216813,0.053270355,0.05045727,0.051934395,0.09273132,0.114276215,0.086520605,0.09078952,0.16590841,0.124682054,0.061787862,0.05007604,0.07778899,0.06964572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14T1B3,0.039371278,0.059505302,0.022218483,0.027566165,0.13569261,0.08908896,0.0662139,0.046893205,0.041120015,0.008657727,0.09874161,0.13023108,0.102977715,0.24468507,0.028248703,0.047354337,0,0.033644345,0.027225826,0.046075147,0.010372871,0.014402048,0,0,0,0,0,0,0,0,0,0,0,0.031804077,0.020172566,0,0
B19T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0.002725906,0,0,0,0,0,0,0,0.022231547,0.020181702,0.031273466,0.009260846,0.023779718,0.020076279,0,0,0.045574017,0.029683797,0.041843284,0.052157104,0.06795863,0.03246386,0.022436647,0.04445526,0.046680335
B14T1B5,0,0,0,0.008972099,0,0,0,0,0.023196211,0.035822947,0.10778351,0.20721258,0.07230739,0.1371621,0.023290083,0,0,0.018862434,0.035266776,0.01912534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011524159,0.01635665,0
B45T1B5,0,0,0,0,0,0,0,0.021029722,0.014885179,0.010957005,0.021828284,0.025967086,0.007039792,0.01351024,0.013135349,0.014987353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B22T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035554536,0.03697319,0,0,0,0,0,0,0.019169675,0.011324026,0.016127255,0,0,0.022104617,0.016705872,0,0
B89T1L10,0,0,0,0,0,0,0.030408494,0.024760023,0,0,0,0,0,0,0.049022805,0.1027047,0,0,0,0,0.01730398,0.014747164,0.027137358,0.037385337,0,0.036148876,0,0,0.114540204,0.06143801,0.016368262,0,0,0,0.03856881,0.14702229,0.043071818
B32T1B5,0.016045628,0.013229842,0,0,0,0,0,0,0.017091064,0.04799884,0.051093753,0.053672727,0.02072729,0.017909294,0.011308063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4T1B3,0.02000307,0.018907584,0.029047903,0.026852207,0,0,0.062199045,0.0945155,0.038714394,0.01160051,0,0.009418222,0.012326608,0.008782477,0.05527757,0.08118608,0,0,0.011980344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5T1B8,0,0,0,0,0,0,0,0,0.009188332,0.024826374,0.10197477,0.081315026,0.13242435,0.027708063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B82T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.127376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
