Pathway,gene,KO,Thaumarchaeota,Nanoarchaeota,Asgardarchaeota,Iainarchaeota,Euryarchaeota,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Binatota,Chloroflexota,Dadabacteria,Alphaproteobacteria,Gammaproteobacteria,GCA-001730085,Gemmatimonadota,Hydrogenedentota,Krumholzibacteriota,KSB1,Latescibacterota,Marinisomatota,Methylomirabilota,Myxococcota,Nitrospinota,Nitrospirota,Omnitrophota,Patescibacteria,Planctomycetota,Poribacteria,SAR324,Sumerlaeota,TA06,UBP7,UBP7_A,Zixibacteria
"Glycolysis and 
gluconeogenesis pathway",glk,K00845,0.00,0.50,0.00,0.00,1.00,0.74,0.36,1.00,0.72,0.20,0.81,0.71,0.30,0.30,1.00,0.59,0.80,0.00,0.57,1.00,0.72,1.00,0.70,0.94,0.83,0.00,0.79,0.86,1.00,0.57,1.00,1.00,0.00,0.00,0.58
,pckA,K01610,0.73,0.00,1.00,0.00,1.00,0.63,0.86,1.00,0.89,0.00,0.49,1.00,0.70,0.15,0.00,1.00,0.40,1.00,0.93,0.00,0.55,0.00,0.20,0.94,0.00,1.00,0.00,0.69,1.00,0.00,0.00,0.00,0.00,1.00,0.92
Tricarboxylic acid (TCA) cycle,CS,K01647,0.86,0.13,1.00,1.00,1.00,0.89,0.79,1.00,0.97,1.00,0.76,1.00,0.94,0.91,1.00,0.82,0.80,1.00,1.00,1.00,0.90,1.00,0.80,0.94,0.83,1.00,0.00,0.90,1.00,0.86,0.00,1.00,1.00,1.00,0.92
,IDH,K00031,0.77,0.00,1.00,0.00,0.00,0.89,0.64,0.50,0.89,1.00,0.23,0.86,0.89,0.91,0.50,0.77,0.20,0.00,0.29,1.00,0.93,1.00,0.70,0.63,0.83,0.00,0.13,0.65,1.00,0.86,1.00,1.00,1.00,0.00,0.83
,sucD,K01902,0.73,0.00,1.00,0.00,1.00,1.00,0.93,0.75,0.78,1.00,0.76,1.00,0.91,0.85,1.00,0.86,0.60,1.00,0.93,1.00,0.90,1.00,1.00,0.81,0.83,1.00,0.04,0.75,1.00,0.86,1.00,1.00,1.00,1.00,1.00
Acetate metabolism,pta,K00625,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.42,0.00,0.00,0.00,0.42,0.07,0.00,0.73,0.00,0.00,0.64,0.00,0.69,0.00,0.00,0.25,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.92
,ackA,K00925,0.09,0.00,0.00,0.00,0.00,0.37,0.50,0.00,0.36,0.00,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.07,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.14,1.00,0.00,0.00,0.00,0.00,0.00,0.00
,ACS,K01895,0.82,0.50,1.00,0.00,1.00,0.95,1.00,0.75,0.92,0.60,0.85,0.14,0.88,0.93,1.00,0.95,0.40,1.00,0.79,1.00,0.79,0.00,1.00,0.81,1.00,1.00,0.21,0.80,1.00,1.00,1.00,0.00,1.00,1.00,0.33
Reductive tricarboxylic acid cycle,porA,K00169,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.21,0.00,0.25,0.00,0.00,0.00,0.20,0.00,0.07,0.00,0.00,1.00,0.00,0.75,1.00,0.00,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,aclA,K15230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,aclB,K15231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wood-Ljungdahl pathway,acsA,K00198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,acsB,K14138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,fhs,K01938,0.00,0.00,1.00,0.00,0.00,0.05,0.57,0.00,0.14,0.00,0.44,0.00,0.58,0.69,0.00,0.59,0.00,0.00,0.00,0.00,0.03,0.00,0.60,0.63,0.50,0.00,0.00,0.07,0.00,0.86,0.00,0.00,0.00,0.00,0.00
"3-hydroxypropionate/
4-hydroxybutyrate cycle",hpcs,K18594,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,4hbl,K18593,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,4hbd,K14534,0.68,0.00,0.00,0.00,0.00,0.05,0.14,0.00,0.06,0.00,0.05,0.71,0.00,0.01,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00
