gene,Abundance (TPM),Sample,Positon 
glk,144.72,D1T1(0-2cmbsf),Slope
pckA,309.12,D1T1(0-2cmbsf),Slope
CS,489.79,D1T1(0-2cmbsf),Slope
IDH,355.95,D1T1(0-2cmbsf),Slope
sucD,468.49,D1T1(0-2cmbsf),Slope
pta,68.25,D1T1(0-2cmbsf),Slope
ackA,14.61,D1T1(0-2cmbsf),Slope
ACS,588.93,D1T1(0-2cmbsf),Slope
porA,84.14,D1T1(0-2cmbsf),Slope
aclA,10.56,D1T1(0-2cmbsf),Slope
aclB,8.37,D1T1(0-2cmbsf),Slope
acsA,0,D1T1(0-2cmbsf),Slope
acsB,0,D1T1(0-2cmbsf),Slope
fhs,122.8,D1T1(0-2cmbsf),Slope
hpcs,270.93,D1T1(0-2cmbsf),Slope
4hbl,252.33,D1T1(0-2cmbsf),Slope
4hbd,292.8,D1T1(0-2cmbsf),Slope
rbcL,22.52,D1T1(0-2cmbsf),Slope
PRK,13.77,D1T1(0-2cmbsf),Slope
amt,570.05,D1T1(0-2cmbsf),Slope
gcvT,486.06,D1T1(0-2cmbsf),Slope
gdhA,334.25,D1T1(0-2cmbsf),Slope
amoA,207.78,D1T1(0-2cmbsf),Slope
hao,9.2,D1T1(0-2cmbsf),Slope
nxrA,21.28,D1T1(0-2cmbsf),Slope
narG,12.02,D1T1(0-2cmbsf),Slope
narB,0.88,D1T1(0-2cmbsf),Slope
napA,15.84,D1T1(0-2cmbsf),Slope
nirB,12.91,D1T1(0-2cmbsf),Slope
nrfA,34.8,D1T1(0-2cmbsf),Slope
nirA,5.74,D1T1(0-2cmbsf),Slope
nirK,298.39,D1T1(0-2cmbsf),Slope
norB,25.34,D1T1(0-2cmbsf),Slope
nosZ,1.63,D1T1(0-2cmbsf),Slope
sat,385.61,D1T1(0-2cmbsf),Slope
aprA,78.54,D1T1(0-2cmbsf),Slope
dsrA,0.23,D1T1(0-2cmbsf),Slope
phsA,2.92,D1T1(0-2cmbsf),Slope
sqr,67.26,D1T1(0-2cmbsf),Slope
cysH,337.45,D1T1(0-2cmbsf),Slope
sir,334.63,D1T1(0-2cmbsf),Slope
cysK,259.89,D1T1(0-2cmbsf),Slope
catA,32.93,D1T1(0-2cmbsf),Slope
catE,74.44,D1T1(0-2cmbsf),Slope
pcaH,132.7,D1T1(0-2cmbsf),Slope
ligB,44.5,D1T1(0-2cmbsf),Slope
boxB,79.1,D1T1(0-2cmbsf),Slope
alkM,29.69,D1T1(0-2cmbsf),Slope
ladA,0.42,D1T1(0-2cmbsf),Slope
arsM,229.96,D1T1(0-2cmbsf),Slope
arsB,279.2,D1T1(0-2cmbsf),Slope
arsC1,91.22,D1T1(0-2cmbsf),Slope
arsC2,106.28,D1T1(0-2cmbsf),Slope
aioA,4.97,D1T1(0-2cmbsf),Slope
selA,116.7,D1T1(0-2cmbsf),Slope
selD,134.75,D1T1(0-2cmbsf),Slope
selU,5.47,D1T1(0-2cmbsf),Slope
glk,159.8,D1T1(4-6cmbsf),Slope
pckA,289.17,D1T1(4-6cmbsf),Slope
CS,503.52,D1T1(4-6cmbsf),Slope
IDH,360.76,D1T1(4-6cmbsf),Slope
sucD,469.67,D1T1(4-6cmbsf),Slope
pta,60.12,D1T1(4-6cmbsf),Slope
ackA,17.08,D1T1(4-6cmbsf),Slope
ACS,638.54,D1T1(4-6cmbsf),Slope
porA,89.11,D1T1(4-6cmbsf),Slope
