sample,B1D1T2,B20T1L10,B23T1L6,B25T1B10,B32T1B5,B3T3L8,B48T1B5,B4T1B8,B50T1B5,B55T1B5,B55T3L14,B61T1B5,B6T1B8,B72T1L10,B81T1L10,B88T3L11,B93T1L10,B95T1B8,B22T3L8,B27T3L11
MC02(8-10cmbsf),0.02918833,0,0,0,0.015282466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC02(28-30cmbsf),0.017817285,0,0.01763574,0,0,0,0,0,0.018892657,0.022123812,0,0,0,0,0,0,0,0.015362008,0,0
D1T1(0-2cmbsf),0.00787405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1T1(4-6cmbsf),0.012642027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1T2(4-6cmbsf),0.08044403,0,0.015893312,0,0.012530268,0,0,0,0.015617889,0,0,0,0,0,0,0,0,0.014720322,0,0
D1T2(24-26cmbsf),0.03330927,0,0,0,0,0,0,0,0.009418471,0.025078038,0,0,0,0,0,0,0,0.017519586,0,0
T1B3R1(0-3cmbsf),0,0,0.032574624,0,0,0,0,0,0.021202667,0.017731193,0,0,0,0,0,0,0,0,0,0
T1B3R1(0-3cmbsf),0,0,0.037805058,0,0,0,0,0,0.017995462,0.019894473,0,0,0,0,0,0,0,0,0,0
T1B5(0-2cmbsf),0.007161,0,0.012763999,0.007774796,0.01585404,0,0,0,0.015469003,0.020249974,0,0,0,0,0,0,0,0.009680987,0,0
T1B5(8-10cmbsf),0.019442677,0,0.054848474,0.021349978,0.045134004,0,0,0,0.043825295,0.033516083,0,0.047062337,0,0,0,0,0,0.04416159,0,0
T1B5(28-30cmbsf),0.02163083,0,0.03298043,0.026378563,0.049812958,0,0,0,0.06297161,0.044953745,0,0.08138937,0,0,0,0,0,0.07422018,0,0
T1B5(38-40cmbsf),0.006032641,0,0.01841207,0.04373047,0.052015256,0,0.15382123,0,0.06560412,0.032080635,0,0.09322925,0,0.004982577,0.004226871,0,0,0.014540644,0,0
T1B8(2-4cmbsf),0.009987191,0,0.062202547,0.030013595,0.019897336,0,0,0.14559792,0.028400866,0.009685684,0,0.002500258,0.046427738,0,0.00257748,0,0,0.07049893,0,0
T1B8(16-18cmbsf),0.018396797,0,0.040320314,0.04162216,0.01712745,0,0,0.07666991,0.051077858,0.041509565,0,0.04073074,0.027151061,0.006271021,0,0,0,0.07281855,0,0
T1L6T1(0-3cmbsf),0,0,0.14739864,0.028700396,0.010620724,0,0,0,0.02062099,0.031985544,0,0,0,0,0,0,0,0.019063296,0,0
T1L6T2(0-3cmbsf),0,0,0.21875156,0.024138866,0,0,0,0,0.031702396,0.03295238,0,0,0,0,0,0,0,0,0,0
T1B10(0-2cmbsf),0,0,0.22303005,0.35141304,0,0,0,0,0.14080667,0,0,0,0,0,0,0,0,0,0,0
T1B10(36-38cmbsf),0,0,0,0.12788573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1B10(44-46cmbsf),0,0,0.010132819,0.16591857,0,0,0,0,0.017168293,0,0,0,0,0.012893784,0,0,0,0,0,0
T1B11(0-3cmbsf),0,0,0,0.015452698,0,0,0,0,0,0.0707224,0,0,0,0,0,0,0,0,0,0
T1L10(0-3cmbsf),0,0.043290365,0,0,0,0,0,0,0,0,0.05014944,0,0,0.033914898,0.03969949,0,0,0,0,0
T1L10(6-9cmbsf),0,0.02644809,0,0,0,0,0,0,0,0,0.047716826,0.028477442,0,0.06610557,0.15237218,0,0.010149311,0,0,0
T1L10(12-15cmbsf),0,0.02577257,0,0,0,0,0,0,0,0,0.008913168,0,0,0.20425326,0.009082803,0,0.03545322,0,0,0
T1L10(18-21cmbsf),0,0.19229984,0,0,0,0.018530577,0,0,0,0,0.032529563,0,0,0.023123765,0,0.015960032,0.19635518,0,0.020042328,0.027747057
T3L8(0-3cmbsf),0,0,0,0,0,0,0,0,0,0,0.035352502,0,0,0,0,0,0,0,0,0
T3L8(6-9cmbsf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3L8(12-15cmbsf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44012162,0.2699902
T3L8(18-21cmbsf),0,0,0,0,0,0.56009763,0,0,0,0,0,0,0,0,0,0.39887643,0,0,0.0898515,0.07358073
T3L11(0-3cmbsf),0,0.016431337,0,0,0,0,0,0,0,0,0.06598636,0,0,0.008444562,0,0,0,0,0,0
T3L11(6-9cmbsf),0,0.016230276,0,0,0,0,0,0,0,0,0.060343347,0,0,0,0,0,0,0,0,0
T3L11(12-15cmbsf),0,0.016668316,0,0,0,0,0,0,0,0,0.022335684,0,0,0,0,0,0,0,0,0
T3L11(18-21cmbsf),0,0,0,0,0,0.46293247,0,0,0,0,0.030148542,0,0,0,0,0.5118327,0,0,1.246526,1.558658
T3L14(0-2cmbsf),0,0.021654265,0,0,0,0,0,0,0,0,0.088132426,0,0,0,0,0,0,0,0,0
T3L14(4-6cmbsf),0,0.015161316,0,0,0,0,0,0,0,0,0.06672717,0,0,0,0,0,0,0,0,0
T3L14(6-8cmbsf),0,0.018476656,0,0,0,0,0,0,0,0,0.070150256,0,0,0,0,0,0,0,0,0
T3L14(12-14cmbsf),0,0,0,0,0,0,0,0,0,0,0.02432387,0,0,0,0,0,0,0,0,0
T3L14(18-20cmbsf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3002779,0.33412337
