Phylum,GT,GH,CE,AA,PL,CBM
Asgardarchaeota,18,4,6,3,0,0
Thaumarchaeota,213,13,5,3,1,4
Euryarchaeota,19,9,10,4,0,0
Iainarchaeota,7,1,0,0,0,0
Nanoarchaeota,104,29,1,1,0,0
Acidobacteriota,709,320,219,102,2,116
Actinobacteriota,283,146,68,34,6,8
Armatimonadota,119,117,40,6,6,23
Bacteroidota,1558,900,315,66,15,152
Binatota,120,65,30,9,0,0
Chloroflexota,2192,1073,896,512,26,35
Dadabacteria,191,89,7,34,0,6
GCA-001730085,65,37,4,4,0,3
Gemmatimonadota,630,601,315,104,12,119
Hydrogenedentota,173,79,48,9,0,14
Krumholzibacteriota,34,7,5,2,0,2
KSB1,662,367,205,33,12,57
Latescibacterota,37,56,24,1,32,5
Marinisomatota,804,395,112,31,4,40
Methylomirabilota,30,17,7,1,0,0
Myxococcota,396,110,68,38,7,5
Nitrospinota,622,258,41,11,7,1
Nitrospirota,175,116,22,6,0,15
Omnitrophota,24,10,3,0,0,0
Patescibacteria,454,136,28,11,1,6
Planctomycetota,2539,1755,856,50,90,549
Poribacteria,57,59,30,3,6,26
Proteobacteria,2681,1714,881,563,47,245
SAR324,198,109,54,14,0,0
Sumerlaeota,36,12,13,2,0,3
TA06,41,10,5,1,0,1
UBP7,7,3,4,1,0,0
UBP7_A,17,5,5,1,0,0
Zixibacteria,396,103,74,10,4,30
