Genome,CAZyme rate,CAZyme count,Phylum
B11T1B5,0.008282127,31,Asgardarchaeota
B49T1B8,0.009164969,9,Thaumarchaeota
B6T1L6,0.006834911,13,Thaumarchaeota
B51T1B5,0.006593407,12,Thaumarchaeota
B2D1T2,0.003960396,6,Thaumarchaeota
B10T1B11,0.007088009,12,Thaumarchaeota
B15MC02,0.004878049,5,Thaumarchaeota
B56T1B5,0.006046863,8,Thaumarchaeota
B12D1T1,0.006433824,7,Thaumarchaeota
B15D1T2,0.005192108,5,Thaumarchaeota
B16T1B3,0.006018917,7,Thaumarchaeota
B10T1B5,0.00911641,13,Thaumarchaeota
B17T3L8,0.004861449,10,Thaumarchaeota
B12T1B11,0.005274725,12,Thaumarchaeota
B52T3L11,0.005211047,10,Thaumarchaeota
B19T1B10,0.006100041,15,Thaumarchaeota
B44T3L14,0.004067797,6,Thaumarchaeota
B7T1B11,0.008130081,22,Thaumarchaeota
B89T1L10,0.005311077,14,Thaumarchaeota
B10D1T1,0.002247191,3,Thaumarchaeota
B5T1L6,0.004582951,5,Thaumarchaeota
B1T1B5,0.015200869,28,Thaumarchaeota
B26D1T2,0.010739857,18,Thaumarchaeota
B79T1B8,0.011871114,42,Euryarchaeota
B58T1L10,0.009367681,8,Iainarchaeota
B62T1B5,0.014394581,17,Nanoarchaeota
B21T1B11,0.013026052,13,Nanoarchaeota
B14T1B11,0.016997167,12,Nanoarchaeota
B19T1B11,0.022253129,16,Nanoarchaeota
B8T1B11,0.012787724,15,Nanoarchaeota
B4T1B8,0.024654239,41,Nanoarchaeota
B28T3L8,0.009354537,10,Nanoarchaeota
B44T1L10,0.015320334,11,Nanoarchaeota
B32T1B5,0.02574103,99,Acidobacteriota
B51T1B8,0.021755725,57,Acidobacteriota
B25T1B10,0.025471981,85,Acidobacteriota
B23T1L6,0.028656494,77,Acidobacteriota
B13MC02,0.02433936,70,Acidobacteriota
B6T1B3,0.026283368,64,Acidobacteriota
B50T1B5,0.024314936,63,Acidobacteriota
B3D1T1,0.023855329,62,Acidobacteriota
B1D1T2,0.025984912,62,Acidobacteriota
B69T1B5,0.023447677,54,Acidobacteriota
B78T1B8,0.026498043,88,Acidobacteriota
B68T1B8,0.029035279,93,Acidobacteriota
B4T1B3,0.027251185,92,Acidobacteriota
B4D1T1,0.028582464,74,Acidobacteriota
B102T3L11,0.023889355,57,Acidobacteriota
B2MC02,0.020282187,46,Acidobacteriota
B23T1B8,0.032227186,101,Acidobacteriota
B66T1B5,0.033810539,111,Acidobacteriota
B71T1B8,0.027946537,115,Acidobacteriota
B69T1B8,0.025492862,75,Actinobacteriota
B15T1B10,0.015375689,53,Actinobacteriota
B22D1T2,0.018796992,55,Actinobacteriota
B86T1B8,0.017704918,54,Actinobacteriota
B3T1L10,0.015134736,41,Actinobacteriota
B63T1B5,0.012982054,34,Actinobacteriota
B11T1B8,0.010063559,19,Actinobacteriota
B20T1L6,0.013822435,26,Actinobacteriota
B77T1L10,0.013911891,42,Actinobacteriota
B15T3L11,0.011557178,19,Actinobacteriota
B5D1T2,0.011784512,35,Actinobacteriota
B85T1L10,0.013328256,35,Actinobacteriota
B14T1B3,0.013096352,28,Actinobacteriota
B15T1B8,0.011158138,29,Actinobacteriota
B31T1B5,0.026183644,73,Armatimonadota
B59T1B8,0.033158813,95,Armatimonadota
B14T1B8,0.032044584,92,Armatimonadota
B55T1L10,0.027792624,52,Armatimonadota
B12T1B10,0.024984577,81,Bacteroidota
B79T3L11,0.032999165,79,Bacteroidota
B29T1B8,0.025157233,68,Bacteroidota
B2T1B11,0.01715138,46,Bacteroidota
B34T3L8,0.032683329,119,Bacteroidota
B20T1B10,0.032195927,117,Bacteroidota
B97T1B8,0.032085561,108,Bacteroidota
B22T3L14,0.039131865,119,Bacteroidota
B93T1L10,0.027459954,72,Bacteroidota
B68T3L11,0.036658933,79,Bacteroidota
B92T1B8,0.018165707,41,Bacteroidota
B1T1B10,0.028938907,90,Bacteroidota
B13T1B10,0.036864407,87,Bacteroidota
B38T3L11,0.032560214,73,Bacteroidota
B52T1B8,0.036528029,101,Bacteroidota
B29T3L8,0.030390738,63,Bacteroidota
B65T1L10,0.030815109,62,Bacteroidota
B74T1L10,0.037222396,119,Bacteroidota
B54T1B5,0.037433155,133,Bacteroidota
B6T1B10,0.03254103,115,Bacteroidota
B47T1B8,0.036788321,126,Bacteroidota
B17D1T2,0.029411765,83,Bacteroidota
B6MC02,0.031704095,72,Bacteroidota
B24T3L14,0.032244378,76,Bacteroidota
B96T3L11,0.025954946,53,Bacteroidota
B14D1T1,0.025330004,71,Bacteroidota
B40T1B5,0.028275862,82,Bacteroidota
B25T1L10,0.029532967,86,Bacteroidota
B33T1B8,0.028640338,95,Bacteroidota
B26T1B8,0.030932031,76,Bacteroidota
B31T1B10,0.029871012,44,Bacteroidota
B13D1T2,0.023679417,91,Bacteroidota
B24T1B5,0.028397028,107,Bacteroidota
B7T1B5,0.02360515,66,Bacteroidota
B51T3L14,0.024505929,62,Bacteroidota
B47T3L11,0.024271845,50,Bacteroidota
B58T1B5,0.01223671,61,Binatota
B24D1T2,0.014400922,50,Binatota
B9D1T1,0.021480629,56,Binatota
B8T1B3,0.01647705,42,Binatota
B46T1B5,0.008210181,15,Binatota
B84T3L11,0.026315789,72,Chloroflexota
B88T1L10,0.030487805,95,Chloroflexota
B11T1B11,0.029776675,96,Chloroflexota
B29T1B10,0.025230276,63,Chloroflexota
B44T1B8,0.02254178,58,Chloroflexota
B29T1B5,0.022694524,63,Chloroflexota
B18T3L14,0.021454112,54,Chloroflexota
B79T1B5,0.017042837,37,Chloroflexota
B99T1L10,0.021122112,32,Chloroflexota
B19T1B8,0.016666667,47,Chloroflexota
B37T1L10,0.013965454,38,Chloroflexota
B41T1B8,0.013591433,33,Chloroflexota
B43T1L10,0.017536168,40,Chloroflexota
B17T1B5,0.012616822,27,Chloroflexota
B28T1B10,0.014693535,35,Chloroflexota
B4T3L11,0.016192071,29,Chloroflexota
B8T1L10,0.010702652,23,Chloroflexota
B39T3L11,0.014050388,29,Chloroflexota
B30T3L14,0.010463378,21,Chloroflexota
B10T3L11,0.014637392,22,Chloroflexota
B1T3L8,0.008992806,10,Chloroflexota
B47T1B5,0.020234604,69,Chloroflexota
B82T1L10,0.021187912,61,Chloroflexota
B38T1B5,0.016312595,43,Chloroflexota
B78T3L11,0.020559211,50,Chloroflexota
B15T3L14,0.018067557,46,Chloroflexota
B36T1B8,0.015536723,33,Chloroflexota
B69T3L14,0.020010005,40,Chloroflexota
B71T1L10,0.018464529,38,Chloroflexota
B42T3L11,0.019864088,38,Chloroflexota
B113T1L10,0.023642173,74,Chloroflexota
B17T3L14,0.022895386,65,Chloroflexota
B104T3L11,0.023988006,64,Chloroflexota
B2T3L11,0.015690777,41,Chloroflexota
B67T3L14,0.014579439,39,Chloroflexota
B80T3L11,0.023303988,45,Chloroflexota
B103T1B8,0.014407093,39,Chloroflexota
B46T1L10,0.022190063,46,Chloroflexota
B9T1B11,0.019699326,38,Chloroflexota
B67T1B5,0.019672131,42,Chloroflexota
B54T3L14,0.022419187,43,Chloroflexota
B36T3L8,0.020833333,26,Chloroflexota
B4T1B11,0.018551237,42,Chloroflexota
B8D1T2,0.017029703,43,Chloroflexota
B12T1L6,0.018246727,46,Chloroflexota
B64T1B5,0.020995801,35,Chloroflexota
B19D1T1,0.019207683,32,Chloroflexota
