CAZyme ,Acidobacteriota,Actinobacteriota,Armatimonadota,Asgardarchaeota,Bacteroidota,Binatota,Chloroflexota,Dadabacteria,GCA-001730085,Gemmatimonadota,Euryarchaeota,Hydrogenedentota,Iainarchaeota,Krumholzibacteriota,KSB1,Latescibacterota,Marinisomatota,Methylomirabilota,Myxococcota,Nanoarchaeota,Nitrospinota,Nitrospirota,Omnitrophota,Patescibacteria,Planctomycetota,Poribacteria,Proteobacteria,SAR324,Sumerlaeota,TA06,Thaumarchaeota,UBP7,UBP7_A,Zixibacteria
AA12,0.74,0.07,0.00,1.00,0.22,0.00,0.13,1.00,0.00,0.64,0.00,0.00,0.00,0.00,0.21,0.00,0.38,0.00,0.40,0.13,0.50,0.17,0.00,0.42,0.00,0.00,0.27,0.00,1.00,0.00,0.00,0.00,0.00,0.00
AA2,0.00,0.07,0.00,0.00,0.08,0.00,0.06,0.57,0.00,0.09,1.00,0.00,0.00,0.00,0.00,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AA3,0.89,1.00,0.00,1.00,0.44,0.60,0.68,0.29,0.00,1.00,1.00,0.40,0.00,1.00,0.79,0.00,0.31,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.66,0.57,1.00,0.00,0.05,0.00,0.00,0.08
AA4,0.53,0.07,0.00,0.00,0.36,0.60,0.57,1.00,1.00,0.55,1.00,0.40,0.00,1.00,0.36,0.00,0.17,1.00,0.30,0.00,0.00,0.00,0.00,0.00,0.15,1.00,0.66,1.00,0.00,0.00,0.00,0.00,0.00,0.17
AA6,0.05,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.20,0.00,0.00,0.50,0.00,0.04,0.04,0.00,0.56,0.00,0.00,0.00,0.00,0.00,1.00,0.00
AA7,0.32,0.71,0.75,1.00,0.14,0.00,0.52,0.86,0.00,0.59,1.00,0.40,0.00,0.00,0.14,0.00,0.07,0.00,0.80,0.00,0.00,0.33,0.00,0.00,0.10,0.00,0.60,0.14,0.00,0.00,0.00,1.00,0.00,0.17
CBM48,0.05,0.00,0.00,0.00,0.31,0.00,0.05,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.14,0.00,0.00,0.00,0.06,1.00,0.00,0.00,0.27,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CBM50,0.05,0.14,0.00,0.00,0.22,0.00,0.09,0.57,0.00,0.18,0.00,0.00,0.00,0.00,0.14,1.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.13,0.01,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.08
CBM67,0.05,0.00,0.75,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,1.00,0.03,0.00,1.00,0.00,0.00,0.00,0.00,0.00
CBM9,0.58,0.29,0.50,0.00,0.86,0.00,0.10,0.00,0.50,1.00,0.00,0.60,0.00,1.00,0.93,1.00,0.72,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.41,1.00,0.24,0.00,0.00,1.00,0.00,0.00,0.00,1.00
