Sample,SEED_function,Rate,Position,Total No. of Reads,Total reads hit SEED database,,
D1T1(0-2cmbsf),Iron acquisition and metabolism,1.54%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Secondary Metabolism,1.38%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Protein Metabolism,22.73%,Slope,1000000,125081,,
D1T1(0-2cmbsf),General Stress Response and Stationary Phase Response,0.03%,Slope,1000000,125081,,
D1T1(0-2cmbsf),"Phages, Prophages, Transposable elements",0.44%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Carbohydrates,58.48%,Slope,1000000,125081,,
D1T1(0-2cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",59.02%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Thiamin,1.07%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Nitrogen Metabolism,2.24%,Slope,1000000,125081,,
D1T1(0-2cmbsf),"Virulence, Disease and Defense",2.40%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Potassium metabolism,2.09%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Phosphorus Metabolism,2.49%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Nucleosides and Nucleotides,8.93%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Transcriptional regulation,0.31%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Photosynthesis,0.18%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Motility and Chemotaxis,2.93%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Miscellaneous,14.07%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Cell Wall and Capsule,11.47%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Virulence,7.24%,Slope,1000000,125081,,
D1T1(0-2cmbsf),"Fatty Acids, Lipids, and Isoprenoids",19.80%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Dormancy and Sporulation,0.33%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Central metabolism,0.49%,Slope,1000000,125081,,
D1T1(0-2cmbsf),RNA Metabolism,16.80%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Predictions based on plant-prokaryote comparative analysis,1.85%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Respiration,8.81%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Nucleotide sugars,1.19%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Polyamines,0.00%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Regulation and Cell signaling,5.04%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Unclassified,19.44%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Amino Acids and Derivatives,53.75%,Slope,1000000,125081,,
D1T1(0-2cmbsf),DNA Metabolism,9.38%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Membrane Transport,4.97%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Plant cell walls and outer surfaces,0.15%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Plant Glucosinolates,0.58%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Autotrophy,0.07%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Metabolism of Aromatic Compounds,4.94%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Sulfur Metabolism,5.13%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Mitochondrial electron transport system in plants,0.71%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Aceton metabolism,0.01%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Stress Response,8.78%,Slope,1000000,125081,,
