gene,Abundance (TPM),Sample,Positon 
K00845,144.72,D1T1(0-2cmbsf),Slope
K01610,309.12,D1T1(0-2cmbsf),Slope
K01647,489.79,D1T1(0-2cmbsf),Slope
K00031,355.95,D1T1(0-2cmbsf),Slope
K01902,468.49,D1T1(0-2cmbsf),Slope
K00625,68.25,D1T1(0-2cmbsf),Slope
K00925,14.61,D1T1(0-2cmbsf),Slope
K01895,588.93,D1T1(0-2cmbsf),Slope
K00169,84.14,D1T1(0-2cmbsf),Slope
K15230,10.56,D1T1(0-2cmbsf),Slope
K15231,8.37,D1T1(0-2cmbsf),Slope
K00198,0,D1T1(0-2cmbsf),Slope
K14138,0,D1T1(0-2cmbsf),Slope
K01938,122.8,D1T1(0-2cmbsf),Slope
K18594,270.93,D1T1(0-2cmbsf),Slope
K18593,252.33,D1T1(0-2cmbsf),Slope
K14534,292.8,D1T1(0-2cmbsf),Slope
K01601,22.52,D1T1(0-2cmbsf),Slope
K00855,13.77,D1T1(0-2cmbsf),Slope
K03320,570.05,D1T1(0-2cmbsf),Slope
K00605,486.06,D1T1(0-2cmbsf),Slope
K00261,334.25,D1T1(0-2cmbsf),Slope
K10944,207.78,D1T1(0-2cmbsf),Slope
K10535,9.2,D1T1(0-2cmbsf),Slope
nxrA,21.28,D1T1(0-2cmbsf),Slope
narG,12.02,D1T1(0-2cmbsf),Slope
K00367,0.88,D1T1(0-2cmbsf),Slope
K02567,15.84,D1T1(0-2cmbsf),Slope
K00362,12.91,D1T1(0-2cmbsf),Slope
K03385,34.8,D1T1(0-2cmbsf),Slope
K00366,5.74,D1T1(0-2cmbsf),Slope
K00368,298.39,D1T1(0-2cmbsf),Slope
K04561,25.34,D1T1(0-2cmbsf),Slope
K00376,1.63,D1T1(0-2cmbsf),Slope
K00958,385.61,D1T1(0-2cmbsf),Slope
K00394,78.54,D1T1(0-2cmbsf),Slope
K11180,0.23,D1T1(0-2cmbsf),Slope
K08352,2.92,D1T1(0-2cmbsf),Slope
K17218,67.26,D1T1(0-2cmbsf),Slope
K00390,337.45,D1T1(0-2cmbsf),Slope
K00392,334.63,D1T1(0-2cmbsf),Slope
K01738,259.89,D1T1(0-2cmbsf),Slope
K03381,32.93,D1T1(0-2cmbsf),Slope
K07104,74.44,D1T1(0-2cmbsf),Slope
K00449,132.7,D1T1(0-2cmbsf),Slope
K04101,44.5,D1T1(0-2cmbsf),Slope
K15512,79.1,D1T1(0-2cmbsf),Slope
K00496,29.69,D1T1(0-2cmbsf),Slope
K20938,0.42,D1T1(0-2cmbsf),Slope
K07755,229.96,D1T1(0-2cmbsf),Slope
K03893,279.2,D1T1(0-2cmbsf),Slope
K00537,91.22,D1T1(0-2cmbsf),Slope
K03741,106.28,D1T1(0-2cmbsf),Slope
K08356,4.97,D1T1(0-2cmbsf),Slope
K01042,116.7,D1T1(0-2cmbsf),Slope
K01008,134.75,D1T1(0-2cmbsf),Slope
K06917,5.47,D1T1(0-2cmbsf),Slope
