Samples,Proteobacteria,Chloroflexota,Thaumarchaeota,Planctomycetota,Patescibacteria,Nanoarchaeaeota,Actinobacterota,Gemmatimonadota,Bacteroidetes,Marinisomatota,Acidobacterota,Zixibacteria,Hydrogenedentes,Omnitrophicaeota,Nitrospinota,Calditrichaeota,Firmicutes,Nitrospirota,Euryarchaeota,Rokubacteria,Armatimonadetes,Dadabacteria,Elusimicrobia,Verrucomicrobia,PAUC34f,BRC1,Poribacteria,Dependentiae,Latescibacteria,Diapherotrites,Chlamydiae,Kiritimatiellaeota,Cyanobacteria,WS2,Synergistetes,Lentisphaerae,Spirochaetes,Tenericutes,Schekmanbacteria,Modulibacteria,Margulisbacteria,Epsilonbacteraeota,Deinococcus-Thermus,Asgardaeota,Aerophobetes,Crenarchaeota,Fibrobacteres,AncK6,Atribacteria,LCP-89,Hadesarchaeaeota,FBP,FCPU426,Fusobacteria,WPS-2,WS1,Hydrothermarchaeota,Aquificae,GN01,Halanaerobiaeota,Thermotogae
MC02(8-10cmbsf),0.382540809,0.099361249,0.149751597,0.097232079,0.009226402,0.013484741,0.022711143,0.041873669,0.024130589,0.011355571,0.058197303,0.003548616,0.00212917,0.009226402,0.001419446,0.005677786,0.00212917,0.020581973,0.000709723,0.024130589,0.000709723,0.00212917,0.003548616,0.003548616,0,0.00212917,0.00212917,0,0.003548616,0,0.000709723,0,0.000709723,0,0.001419446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC02(28-30cmbsf),0.364555615,0.124002129,0.13943587,0.082490687,0.006386376,0.027142097,0.04204364,0.032996275,0.034592869,0.006386376,0.048430016,0.004789782,0.003193188,0.007450772,0.006918574,0.018626929,0.002128792,0.012240553,0.001064396,0.006386376,0.001596594,0.009047366,0.002128792,0.00266099,0.00266099,0.001596594,0.001596594,0.001596594,0.00266099,0.000532198,0,0.001064396,0.000532198,0,0,0,0,0,0,0,0,0.000532198,0,0.000532198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1T1(0-2cmbsf),0.277122642,0.132075472,0.257861635,0.074685535,0.019654088,0.014150943,0.031446541,0.044025157,0.018867925,0.001965409,0.049528302,0.005110063,0.003537736,0.016116352,0.007075472,0.00668239,0.001572327,0.010220126,0.000786164,0.002358491,0.000786164,0.004716981,0.002358491,0.001179245,0.002358491,0.002358491,0.000393082,0.001965409,0.002358491,0.000393082,0.001572327,0,0.000393082,0.000393082,0.000786164,0.001965409,0,0,0,0,0.000786164,0,0,0,0,0,0,0.000393082,0,0,0,0,0,0,0,0,0,0,0,0,0
D1T1(4-6cmbsf),0.252988048,0.160358566,0.258466135,0.084163347,0.019422311,0.020418327,0.02689243,0.037350598,0.019920319,0.004482072,0.046314741,0.004482072,0.003984064,0.008466135,0.003486056,0.00249004,0.001992032,0.013446215,0.001992032,0.003486056,0.000498008,0.003984064,0.002988048,0.000996016,0.002988048,0.001992032,0,0.000996016,0.001992032,0.000996016,0.000996016,0.000996016,0.000996016,0,0.00249004,0.000498008,0.000996016,0,0,0,0.000498008,0,0.000498008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1T2(4-6cmbsf),0.399889989,0.155115512,0.149614961,0.052255226,0.008250825,0.02860286,0.037953795,0.025852585,0.024752475,0.009350935,0.041254125,0.002750275,0.00110011,0.007150715,0.00110011,0.00440044,0.001650165,0.00880088,0,0.02310231,0.001650165,0.002750275,0.001650165,0.00110011,0.001650165,0.00220022,0.001650165,0,0.000550055,0.000550055,0,0.000550055,0,0,0.001650165,0,0,0,0,0,0,0,0,0.000550055,0,0,0,0,0,0,0.000550055,0,0,0,0,0,0,0,0,0,0
D1T2(24-26cmbsf),0.392832765,0.100682594,0.17337884,0.059726962,0.024232082,0.050853242,0.048464164,0.018771331,0.021843003,0.017406143,0.021843003,0.00887372,0.001023891,0.004095563,0.000682594,0.003754266,0.012627986,0.012969283,0,0.000682594,0.000682594,0.002730375,0.004095563,0.001365188,0.001706485,0.001023891,0.002730375,0.000682594,0.001706485,0.000341297,0.001365188,0.000682594,0.001706485,0.001706485,0.000682594,0.000341297,0,0,0,0,0.000341297,0,0.000682594,0,0,0,0,0,0,0,0,0.000341297,0,0.000341297,0,0,0,0,0,0,0
T1B5(0-2cmbsf),0.266118994,0.152850386,0.207866567,0.109036594,0.016928056,0.021657954,0.02240478,0.059248195,0.031615634,0.004729898,0.035598706,0.005476724,0.004729898,0.011700274,0.008961912,0.009459796,0.002240478,0.00497884,0.000248942,0.00124471,0.00124471,0.005227782,0.001493652,0.003485188,0.002240478,0.00248942,0.000995768,0.000746826,0.001493652,0,0.001493652,0.000248942,0,0,0.000248942,0.000248942,0.000497884,0,0.000248942,0,0,0.000248942,0,0.000248942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1B5(8-10cmbsf),0.336585366,0.080631277,0.263414634,0.095839311,0.044476327,0.021807747,0.007747489,0.032711621,0.006599713,0.002008608,0.041893831,0.000573888,0.009469154,0.007460545,0.009182209,0.004304161,0.002582496,0.010329986,0.000573888,0.001147776,0,0.003443329,0.003443329,0.001721664,0.001147776,0.004878049,0.000286944,0.000573888,0.000573888,0.000286944,0.000286944,0.000286944,0,0,0.000286944,0,0.001147776,0,0.001147776,0.000860832,0,0.000286944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1B5(28-30cmbsf),0.230656219,0.240450539,0.181684623,0.076885406,0.024975514,0.042115573,0.054848188,0.022526934,0.016160627,0.016160627,0.024975514,0.010284035,0.00489716,0.007835455,0.005876592,0.000979432,0.009794319,0.004407444,0.000979432,0.001469148,0.001469148,0.00489716,0.001469148,0.000489716,0.001469148,0.001469148,0.000979432,0.002938296,0.000489716,0,0.001469148,0.000979432,0.000489716,0.000489716,0.000489716,0,0.000489716,0,0.000979432,0,0,0,0,0.000979432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1B5(38-40cmbsf),0.235879572,0.24670316,0.187235631,0.057725802,0.021771585,0.033590445,0.059094302,0.031102264,0.015177905,0.014182632,0.02114954,0.007588952,0.003732272,0.009330679,0.008086589,0.002736999,0.015177905,0.001866136,0.000124409,0,0.005847226,0.004354317,0.003607863,0.000248818,0.002488181,0.001119682,0.000746454,0.003607863,0.000622045,0.000746454,0.001617318,0.000373227,0.000497636,0,0.000124409,0.000248818,0.000373227,0,0.000124409,0,0.000248818,0,0.000248818,0.000124409,0,0.000248818,0,0,0,0,0,0.000124409,0,0,0,0,0,0,0,0,0
