MAG,Group,No. of genes per 100kb genome,Estimated total No. of genes,No. of CAZyme genes per 100kb genome,Estimated total No. of Cazyme genes,No. of peptidase per 100kb genome,Estimate total No. of peptidase
B100T3L11,Bottom,111,1729,5,83,1,14
B104T3L11,Bottom,99,3116,2,75,2,70
B105T1L10,Bottom,92,4168,2,76,1,64
B108T1L10,Bottom,112,6819,2,118,1,55
B10T1L10,Bottom,117,3175,2,59,2,59
B111T1L10,Bottom,105,799,3,22,2,13
B113T1L10,Bottom,98,3245,2,77,2,63
B11T3L8,Bottom,91,4185,1,68,2,82
B12T3L11,Bottom,93,2286,3,66,3,63
B12T3L14,Bottom,101,3185,1,46,2,74
B13T1L10,Bottom,103,3930,2,68,3,114
B13T3L14,Bottom,118,2318,1,25,2,43
B14T1L10,Bottom,95,2908,2,68,1,39
B15T1L10,Bottom,106,5690,2,87,3,160
B15T3L11,Bottom,117,2257,1,26,1,27
B16T3L11,Bottom,99,2912,3,74,1,36
B17T3L14,Bottom,99,3153,2,72,2,62
B18T1L10,Bottom,101,4053,1,48,3,123
B19T3L11,Bottom,118,3174,2,42,2,42
B1T3L14,Bottom,110,2747,3,77,3,72
B20T1L10,Bottom,108,6153,4,220,1,68
B20T3L14,Bottom,119,2714,2,37,3,60
B22T1L10,Bottom,93,2437,2,55,2,59
B25T1L10,Bottom,88,2931,3,87,4,118
B25T3L8,Bottom,91,2365,2,61,2,64
B26T3L14,Bottom,102,3387,4,123,2,62
B26T3L8,Bottom,111,4175,3,97,1,50
B27T3L8,Bottom,104,2449,2,55,2,43
B2T1L10,Bottom,102,3458,3,99,2,76
B2T3L11,Bottom,110,4975,2,78,2,80
B30T3L11,Bottom,101,4168,3,110,3,108
B31T3L8,Bottom,105,3702,2,67,3,103
B33T3L14,Bottom,104,3305,1,46,2,52
B33T3L8,Bottom,112,2917,2,59,3,82
B35T1L10,Bottom,101,3201,2,64,2,66
B36T1L10,Bottom,92,3777,2,94,2,73
B37T3L11,Bottom,114,4737,2,76,3,110
B38T1L10,Bottom,100,3450,2,75,3,112
B38T3L14,Bottom,92,3477,2,64,3,125
B38T3L8,Bottom,106,3913,2,60,3,104
B39T3L8,Bottom,119,3314,2,67,2,46
B40T1L10,Bottom,96,3450,2,73,3,103
B41T3L14,Bottom,94,4358,2,72,2,74
B42T3L14,Bottom,101,3027,2,68,3,87
B43T3L11,Bottom,97,2316,2,45,2,47
B44T1L10,Bottom,121,1061,2,16,1,6
B45T3L11,Bottom,108,771,2,13,2,13
B48T3L14,Bottom,113,5016,2,73,3,128
B49T1L10,Bottom,105,3343,2,68,2,49
B4T3L14,Bottom,100,4069,3,120,5,185
B50T3L11,Bottom,97,4996,2,107,1,73
B52T3L14,Bottom,102,2988,2,58,1,41
B53T3L14,Bottom,103,2428,3,60,3,60
B54T3L14,Bottom,120,2750,3,62,2,49
B55T3L14,Bottom,97,2997,2,66,2,66
B58T1L10,Bottom,135,1305,1,12,1,12
B58T3L11,Bottom,100,3097,1,36,1,46
B5T3L8,Bottom,90,3295,2,83,1,42
B60T3L14,Bottom,113,3462,2,55,3,83
B61T3L11,Bottom,94,3118,2,56,5,161
B63T1L10,Bottom,99,3505,2,83,1,49
B63T3L14,Bottom,113,2554,2,53,2,34
B65T3L11,Bottom,92,2475,2,57,2,64
B66T3L11,Bottom,91,2545,2,59,1,26
B67T1L10,Bottom,96,3214,2,70,1,44
B6T3L14,Bottom,122,809,1,4,3,17
B77T1L10,Bottom,103,2982,1,41,2,55
B77T3L11,Bottom,94,3749,1,59,3,131
B78T1L10,Bottom,100,2612,2,46,1,37
B7T3L11,Bottom,99,2559,2,54,2,39
B7T3L14,Bottom,101,2783,1,33,2,45
B82T1L10,Bottom,101,2945,2,62,2,54
B82T3L11,Bottom,113,3460,3,90,2,59
B85T3L11,Bottom,106,2860,2,64,2,46
B86T1L10,Bottom,109,895,2,14,1,12
B87T1L10,Bottom,91,2724,2,64,2,49
B89T3L11,Bottom,102,2864,1,41,2,42
B90T3L11,Bottom,101,3351,2,72,3,106
B99T3L11,Bottom,108,2367,2,55,2,44
B9T3L14,Bottom,103,2547,2,39,1,34
B102T1B8,Slope,110,3441,1,40,3,108
B10T1B11,Slope,126,1791,1,13,3,36
B10T1B3,Slope,117,3175,2,62,3,92
B10T1B5,Slope,130,2166,1,20,3,47
B11T1B3,Slope,103,2560,2,55,4,102
B12D1T1,Slope,143,2011,1,13,3,39
B12T1B3,Slope,110,3381,2,49,4,109
B12T1L6,Slope,116,2957,2,54,2,45
B13D1T1,Slope,110,2236,3,61,3,51
B13MC02,Slope,104,3163,3,77,3,86
B13T1B3,Slope,100,2747,2,61,3,69
B13T1L6,Slope,94,4133,3,122,3,116
B15D1T2,Slope,138,1765,1,9,3,40
B15MC02,Slope,124,1447,1,7,3,37
B15T1B5,Slope,115,2864,1,29,3,81
B16D1T1,Slope,113,3753,1,34,4,124
B16D1T2,Slope,96,3072,2,70,4,122
B16T1B10,Slope,104,4000,2,60,4,144
B16T1B3,Slope,124,1608,1,10,3,36
B16T1B5,Slope,104,2511,2,59,3,66
B18D1T1,Slope,96,2723,2,59,4,100
B18D1T2,Slope,106,2470,2,45,4,86
B18T1B5,Slope,103,3246,2,60,2,79
B19D1T2,Slope,96,2790,2,60,3,99
B19T1B10,Slope,132,2545,1,16,2,47
B1D1T2,Slope,105,3054,3,79,3,78
B1T1B3,Slope,104,2405,2,40,4,84
B1T1L6,Slope,104,3247,2,57,3,86
B20D1T2,Slope,94,3244,2,61,3,109
B20T1B11,Slope,101,3534,1,45,3,120
B21D1T1,Slope,96,2719,2,55,4,104
B22T1B5,Slope,103,4104,2,75,2,78
B23D1T1,Slope,96,2563,2,42,3,88
B23T1L6,Slope,97,2803,3,80,3,83
B24D1T2,Slope,110,4569,2,66,2,68
B24T1B10,Slope,100,4444,2,104,3,115
B25T1B10,Slope,103,3372,3,86,3,97
B25T1B8,Slope,99,2754,2,65,2,64
B25T1L6,Slope,109,2514,2,49,2,49
B26T1L6,Slope,98,2764,2,67,3,71
B27D1T2,Slope,107,3393,2,61,3,96
B2D1T2,Slope,126,1586,0,6,3,42
B2T1B3,Slope,96,2702,2,45,3,91
B32T1B10,Slope,103,2669,2,41,3,84
B33T1B5,Slope,95,3269,2,75,4,126
B37T1B5,Slope,107,3753,2,78,3,115
B3MC02,Slope,117,4786,1,61,3,127
B3T1B11,Slope,116,2794,2,44,3,80
B3T1B3,Slope,106,3610,2,67,4,124
B40T1B10,Slope,103,2863,2,46,3,86
B40T1B8,Slope,99,2736,2,49,3,90
B48T1B8,Slope,103,3577,2,60,2,86
B4D1T1,Slope,96,2885,3,82,2,58
B4T1B3,Slope,101,3514,3,96,2,62
B4T1L6,Slope,104,3797,1,44,4,130
B50T1B5,Slope,100,2932,2,71,3,85
B51T1B5,Slope,121,1857,1,12,3,44
B55T1B5,Slope,101,2254,2,49,2,52
B56T1B5,Slope,137,2252,1,14,3,46
B57T1B5,Slope,107,2647,2,39,3,81
