cluster,T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),MAGs,Phylum
cluster1,0.000011,0.000007,0.000006,B26D1T2;B1T1B5,Thaumarchaeota
cluster2,0.000008,0.000004,0.000008,B49T1B8,Thaumarchaeota
cluster3,0,0,0,B15MC02;B15D1T2,Thaumarchaeota
cluster4,0.000002,0.000001,0.000001,B10T1B11,Thaumarchaeota
cluster5,0.000023,0.000034,0.00003,B56T1B5;B2D1T2;B12D1T1,Thaumarchaeota
cluster6,0,0,0,B51T1B5,Thaumarchaeota
cluster7,0.000005,0.000004,0.000004,B16T1B3;B10T1B5,Thaumarchaeota
cluster8,0.000075,0.000092,0.000086,B44T3L14,Thaumarchaeota
cluster9,0.000137,0.000125,0.000155,B89T1L10,Thaumarchaeota
cluster10,0.00008,0.000077,0.000078,B52T3L11,Thaumarchaeota
cluster11,0.021909,0.024578,0.024492,B7T1B11;B17T3L8,Thaumarchaeota
cluster12,0.000459,0.000467,0.000434,B19T1B10;B12T1B11,Thaumarchaeota
cluster13,0.000085,0.000116,0.000092,B5T1L6,Thaumarchaeota
cluster14,0.000043,0.000047,0.000044,B10D1T1,Thaumarchaeota
cluster15,0.000001,0,0.000001,B6T1L6,Thaumarchaeota
cluster16,0.000063,0.000078,0.00006,B12T1B10,Bacteroidota
cluster17,0.000004,0.000001,0.000001,B55T1B8,Patescibacteria
cluster18,0.000003,0.000001,0.000002,B91T3L11,Patescibacteria
cluster19,0.001473,0.001682,0.001675,B19T1L10,Patescibacteria
cluster20,0.000333,0.000383,0.000393,B18T3L11,Patescibacteria
cluster21,0.000163,0.000234,0.000211,B6T1L10,Patescibacteria
cluster22,0.001092,0.000456,0.000066,B2T1B11,Bacteroidota
cluster23,0.000042,0.000025,0.000028,B79T3L11,Bacteroidota
cluster24,0.00123,0.001412,0.001333,B45T3L11;B111T1L10,Patescibacteria
cluster25,0.000263,0.000339,0.000314,B6T3L14,Patescibacteria
cluster26,0.000394,0.000455,0.000445,B86T1L10,Patescibacteria
cluster27,0.000054,0.000049,0.000052,B1T3L8;B10T3L11,Chloroflexota
cluster28,0.000182,0.000206,0.000203,B45T3L14,Patescibacteria
cluster29,0.000147,0.000175,0.000167,B8T3L11,Patescibacteria
cluster30,0.000115,0.00013,0.000126,B32T3L8,Patescibacteria
cluster31,0.000004,0.000003,0.000005,B63T1B8,Patescibacteria
cluster32,0.000014,0.000006,0.000009,B16T1B11,Patescibacteria
cluster33,0.000042,0.000043,0.000048,B84T1L10,Patescibacteria
cluster34,0.000001,0,0.000001,B5T1B11,Patescibacteria
cluster35,0.000002,0.000006,0.000003,B100T1L10,Patescibacteria
cluster36,0.002534,0.002731,0.002772,B100T3L11,Patescibacteria
cluster37,0.000005,0.000004,0.000006,B14T1B11,Nanoarchaeota
cluster38,0.000019,0.000039,0.00003,B21T1B11,Nanoarchaeota
cluster39,0,0,0.000001,B8T1B11,Nanoarchaeota
cluster40,0,0,0,B19T1B11,Nanoarchaeota
cluster41,0.000106,0.000099,0.000104,B103T1B8,Chloroflexota
cluster42,0.000038,0.000063,0.000049,B16T1B5,Gemmatimonadota
cluster43,0.000006,0.000021,0.000007,B11D1T1,Proteobacteria
cluster44,0.001456,0.001549,0.00157,B52T1L10,Planctomycetota
cluster45,0.001034,0.001557,0.001157,B78T1B5,Planctomycetota
cluster46,0.000328,0.000309,0.000344,B103T1L10,Planctomycetota
cluster47,0.000021,0.000021,0.000027,B10D1T2,Planctomycetota
cluster48,0.000055,0.000056,0.000056,B70T1B5,Planctomycetota
cluster49,0.000001,0.000001,0.000001,B30T1B8,Poribacteria
cluster50,0.000939,0.00108,0.001058,B98T1L10;B86T3L11,GCA-001730085
cluster51,0.001593,0.001736,0.001722,B36T1B5,Planctomycetota
cluster52,0.011886,0.012838,0.013056,B58T3L14,Planctomycetota
cluster53,0.000631,0.000708,0.000708,B38T1B10,Planctomycetota
cluster54,0.000058,0.000568,0.00005,B17T1B11,Zixibacteria
cluster55,0.001673,0.002519,0.001934,B4T1B3;B4D1T1;B2MC02,Acidobacteriota
cluster56,0.00013,0.000725,0.000144,B68T1B8,Acidobacteriota
