genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L7(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B55T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003913081,0,0,0,0.033969246,0.017306454,0,0.038598854,0.10624343,0.03684554,0,0.06501391,0.07522603,0,0,0.045976996,0.038442872,0.056669235,0.09846667,0,0.04517709,0.034522995,0.012507808,0
B63T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008483727,0,0,0.029080248,0.17386894,0.04030768,0.029284988,0.020215048,0,0.02429678,0.16681622,0,0,0.009294176,0,0
B26T1B8,0,0,0,0,0,0,0,0,0,0,0.02364797,0.003247577,0.030445643,0.06616341,0,0,0,0.036846913,0.023071693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B19T1L6,0,0,0,0,0,0,0.033622205,0.030866481,0.04690361,0.043928985,0.034509726,0.076241866,0.031402312,0.025053853,0.118534185,0.07563603,0.08623381,0.04080701,0.027781712,0.029458782,0.054189507,0.04544986,0.034586627,0.032917112,0.055356197,0.037611455,0,0.029208397,0.040129047,0.048965316,0.05973861,0.047588497,0.048983432,0.069337174,0.0841439,0.07228467,0.041906677
B8T1B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07904279,0.20429452,1.6971289,0.027157903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11T1L6,0,0,0,0,0,0,0.024410084,0.018817361,0.013553299,0,0,0.00410036,0.00912038,0.012068686,0.11642216,0.047395177,0.13043907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B62T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.042376578,0.003301315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07146969,0,0,0,0.023710094,0,0,0,0.060455278,0.06697696,0.09046578,0,0,0.035533827,0.020327805,0,0
B13T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014069383,0,0.018185908,0.027660102,0.052598152,0.0316758,0.028597252,0.023191104,0,0,0,0.012437264,0.030653426,0.039806526,0.02567089,0,0.019889802,0.056325514,0
B11T3L11,0,0,0,0,0,0,0,0,0,0,0,0.008542903,0.004729661,0.007315057,0,0,0,0,0.012124597,0,0.11914053,0.09997912,0.011472546,0,0.09964712,0.04576233,0,0,0.09833071,0.11430238,0.13967137,0.074030854,0,0.082019806,0.0576419,0.03168225,0
B49T1B8,0,0,0,0,0,0,0,0,0.009958864,0,0,0,0.04842009,0.023772648,0,0,0,0.021802628,0.0210546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11T3L8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04479432,0.07386596,0.058616318,0.03127569,0.16345489,0.15689704,0.06551195,0.12364439,0.04950078,0.04494616,0.077573165,0.15363601,0,0.080644436,0.1188171,0.11247037,0.18959725
B4T1L6,0.01978141,0.026913024,0,0.010010613,0.014645884,0.024675876,0.039046038,0.04910135,0.046440348,0.04790581,0.08990835,0.10924309,0.08299722,0.0871284,0.15560213,0.117280945,0.06016602,0.04740485,0.07396717,0.066563845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14T1B3,0.03759612,0.057120427,0.021222662,0.026462015,0.093492135,0.08646514,0.06325991,0.044457488,0.03897572,0.008331277,0.09552828,0.12448045,0.09912863,0.23639289,0.026346866,0.04462251,0,0.031581383,0.02563802,0.04458618,0.009689784,0.013717213,0,0,0,0,0,0,0,0,0,0,0,0.029616745,0.01873296,0,0
B19T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0.002652099,0,0,0,0,0,0,0,0.02130962,0.01965867,0.030420918,0.008873466,0.023001546,0.019350812,0,0,0.044011675,0.028453417,0.039871816,0.05017391,0.065330565,0.031371225,0.021597145,0.04269382,0.045133006
B14T1B5,0,0,0,0,0,0,0,0,0.020634891,0.031960677,0.10186009,0.19154423,0.068033576,0.1284548,0.02064407,0,0,0.01660523,0.03178779,0.017932523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009998131,0.013962152,0
B45T1B5,0,0,0,0,0,0,0,0.018519396,0.01319877,0.009340043,0.020520935,0.024436321,0.006561411,0.012475526,0.011281962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B22T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032302495,0.034902133,0,0,0,0,0,0,0,0,0.014513268,0,0,0.020265874,0.015526953,0,0
B89T1L10,0,0,0,0,0,0,0.027352426,0.021997795,0,0,0,0,0,0,0.045644723,0.097002484,0,0,0,0,0.014176383,0.013030459,0.02517216,0.03520527,0,0.030336076,0,0,0.10985219,0.055293426,0.014197542,0,0,0,0.034293327,0.13670239,0.038980905
B32T1B5,0.015282466,0,0,0,0.012530268,0,0,0,0.01585404,0.045134004,0.049812958,0.052015256,0.019897336,0.01712745,0.010620724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4T1B3,0.018303838,0.017239371,0.026623333,0.024694102,0.014971873,0,0.05756027,0.08742046,0.0348718,0,0,0.008727652,0.011474609,0.007989945,0.05065972,0.07542131,0,0,0.01142602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5T1B8,0,0,0,0,0,0,0,0,0.008511051,0.023224786,0.09963671,0.079426415,0.12945844,0.026692966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B82T1B8,0,0,0,0,0,0,0,0,0,0,0,0,0.1254343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017076159,0.015837211,0.015381855,0.015846895,0,0.020815525,0.021912724,0,0,0.03298718,0.027837956,0.040245492,0.049741406,0.029261189,0.016557274,0.014536018,0.008318621,0
B112T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0.003022301,0.012474248,0,0,0,0.029299397,0.027235368,0,0.12838107,0.16834679,0.058282144,0,0.13291071,0.14274895,0.049125858,0,0.13095903,0.09347124,0.12114111,0.18960762,0,0.28063837,0.22250192,0.06116495,0
